"email_hash","category"
"4ac05dacb62fcc8e8674f217e8c29390c2802970748ae5ec7a7b9e385de06c5d","Cardigans"
"38f304423ea50739aff8e67b486ec722aec07777c9a2e25a6cb9e9163dec78a7","Tanks"
"afc009e0e9246fd84bc9d71521adccae01bbc7d52634207732396c2fe4953806","\"Gingham\" Shorts"
"8eb68feddc77279ba2e6d6db85d2f387cc08c0e73add735a1fd427a4ef2d79c1","Pants"
"e730890bb71b41c306ce931ef07a1ea9a06997b7d13f5e99b2f6a3d5119d619c","Capris"
"a5f7527d4ce53a6e6cc272cef5b2c7bc9237ee7220afc7ef2f236ab20a120481","\"Gingham\" Shorts"
"93c7733f0d2d7e55193ee9b07874d3bd8a2eff0c7bbc372b0a5af7eebed001e8","Capris"
"25e385c687261e615aa2eb1266563d6737268ea8204589d9bba5f6446387a92d","\"Gingham\" Shorts"
"7784d669e0bbeff825ecbdb36a3862692bf47e3492a5a4e4fc69acd2aa0fc847","Tanks"
"baae16f536e3bbe07f83cb407648641d78cf0321adc7c75176101911064f423c","Tanks"
"ed74d2225168cc5e63055fff211c7971310de29140f7b57eac7c8b6b148d0832","Shirts"
"f066747ca77b1283ea29ddefc3dcd49f455e5d7ccd7b6975020f2e3cbcbe5e22","Cardigans"
"b5cb51bf78c16667a46d6ad55a0eb148c01084380de0a0dd2026c0b269335850","Cardigans"
"aaa812346934dcd4da6a0b833f0fb688f7df5d23351466f10103c6d144b073e0","Capris"
"3ad0d6f7b77714673418a27733c80b4b0374a4c11e30742035c908c93f37245b","Cardigans"
"654c368d2b4e126ee939092a08263d5d68150c2474de71ee7a3bdfe9619ce48c","\"Gingham\" Shorts"
"bf9d728e7bc31692f38b12a862efd83137ceef441717468f35121e2428d42f42","\"Gingham\" Shorts"
"beed2babda36af043bd416f336c97d025d1076015353fecb0db4577bf7b0bc88","Blouses"
"aea68a6f77c5ba41895caf866dd170b343d4b4401d1086c67f1aa710d06c8f7a","Blouses"
"71cb757c1d706dc3458c05dceca1277af281bd08a8f2ae4e7ae2090df5f8f604","Pants"
"f68162a4c51463fef11daedd919ecb69d4a2168dc16e152761117cce05731ecf","Cardigans"
"e215789f08277db1bf007d4524f77938e5125b9024032566a4386f6aca27dcbd","Shirts"
"998ff6c00213603c24d053b151a2ef5d6d0991edf311de393e6b1f38b4c637ad","Capris"
"cff2c4211cdcc3db25a5eea4c3ef9d8935d83a67dcb85f77dcd9fede75360df6","Shirts"
"d26b19d484a5b70fef79802a8f521a5fbfd23f7518773416c4e771e834e6de56","\"Gingham\" Shorts"
"8cb9f4b523312b6adfc079e7a33e126ae80cc5d6183c3df9cb0198b13e44250a","Blouses"
"59e5f1e1eab0f8a9112eda555674a0af70d54ab5eac07f24f1ea5ad93bf53c76","Blouses"
"f34c9bd2931ec0a4bbae002c2d55a49782eab991f75031d42baf0afde2e2f2db","Tanks"
"c27fcf451eb6933ca02bef2650661f472dde04e6bfcacfc603a0dee609cb2667","Blouses"
"586988059447d03ca50591d37c14529cc8f119ef3714a0fd5997a7e46d915e3f","Blouses"
"8d033e6ed165c054a35301ec9a03e218eecb1e58615d943aa637c799157bc67c","\"Gingham\" Shorts"
"92727b45ee998dd902665945573c298f1d432f7441544407470f3afa2e312236","Shirts"
"717a447d063b97dc2c678f0b7c5abf1de4d4a011e7a25c98035700da0c7e0d70","Cardigans"
"db45b78f6024692a9080d3f9d605356a079436182329159d51ce99350a385921","Blouses"
"bc5bce977ea6f303f5fd2150a4f7a9fd8e451ba40e00ae6c073be155d8c0c7b6","Blouses"
"43ddb7e88f550cc8844551080f89724660ac55e6b52857b4d02cc1ab75e43d07","Cardigans"
"8f7accd2e84236bad5ccc0f55e37cfb01e743041e59874874d147c7849bc4b03","Blouses"
"a04854a1012a7d436a015c605e04ebdf53e8bfb974c3167c0ddfa00fffc2aa2a","Blouses"
"fea6c03be00afd0f1bb400d8fc6240eefea9626cd7e8364d46e7fea686b0f1f0","Pants"
"b8a4a8bbc00acf61199570c3b36bb4e656ce940697f51b364323934707ece796","Shirts"
"6a07a90f74e555319f62972d15bfa128b036fedf47256e56bde6f7307d76cb2f","Cardigans"
"22be595f6f51f20be97a851254f52baa4c8de41c40754d7844254934b869bc6d","Blouses"
"9d5716a9701174c490dde8f249b12578513575eca3c5138ee8511aaa1bcec617","Cardigans"
"c5442aaef95bf5868fa4b0e39bd61f05ae0e278e5c83f95c2f8c8f7676dec9f2","Shirts"
"da3d819434e27f6efec849b9453b814e2aa13b836847ca126dd7a7288e347fc5","Cardigans"
"179d86b14bdc36563e891fead4b48dfa0c80fd7854104f9a3214d27b62f94edb","Shirts"
"7f732dc5380f593d261000a578ac0e4c35f89ba191eca82f0c3190eb90be1541","Tanks"
"a1f1bb68dc58ad72595ac6864bc53aafee90c4a3a030514eed21625d680754ea","Tanks"
"59afe6e61c7ca001f1ff2c22f973bc4601dd4121c1deef2841c63575ef3368c1","\"Gingham\" Shorts"
"f83a2bd36b7ee2bd7b6fa171cd17e19cb60a4417c46a6116870a27dfbeceaf62","Tanks"
"388a9028cf6de9bbd97677857d4b03651de256db73279e3756661d3b869e1378","Capris"
"1b9a9daa3fa6513bfaa29e8d50c95f266664d4631d7bd5452583274b32c9b1eb","Shirts"
"6079d86ad017a64591f1000dad2e4724c783814d8f991ecfc62471d3c6dadc33","Capris"
"3d24a40d2121a22c8a3b4b05db9cb70915e2affde79762d2ea436bfeab720fa7","Tanks"
"d84342f50cbbb6da5f259e53770ca079bc8753084c745efe8c84a0f1bbbd8538","Pants"
"2b27a6a25582c8eb15ee5a3b9e812cbb4c2999ae663f61e38b41bb9fd9dc4006","Shirts"
"645dc339b9035511db3351ab7e1fb68b61e0778016cafa6a65ec00e9f0f589d5","Tanks"
"0d251e81a1e7126552ade01030a8cf6d0eb44e254c988f84f399dbf51eda7ef4","Blouses"
"6bdff51fd08e6f8931f8f42e32bea23c0ba95e74474ce38bd993d27e57a8bc25","\"Gingham\" Shorts"
"83462a5bea04c3050aec7aa2efe1f893123bb4e68f3cd4aef8deb28e9cf0f48b","Shirts"
"e74f3746fdc2b0be8c33e68822ece0a18afd062ace779708ce9eada62f6f3ff0","Tanks"
"9795b8ae27465cd595fb6bcb49c3908ebd01be6a873617112c70d8e72496a12a","Capris"
"6332fc7545dcb4770708150e3f748bba16f9d8270bc87f81071eec1383afe31b","Shirts"
"a016d63baeb3f423572d62639c69405f3ab6f1f4295c0b269a9c8c0ccd87cdf3","Shirts"
"2e20fbac81b91ccea7edfad341caf67821b728a80dae6bb03fc0a23ecbb62961","Blouses"
"fd0efffddceb4bcfcd998575f017c6471245436ed7615cd6398088b75688b91a","Blouses"
"1811c1907d0c39045b44fc0ea85811be53a79efb93e57c8f42b5d454ea6f43cf","\"Gingham\" Shorts"
"c9d713ce9a10791f1fb2c6ba6db382dbd07832b7c1819d284d1b05b06db492a1","Pants"
"dace15ffb07e257a1c45d25ae2f1dd701d08fc1fd5214d8926ba5110f5b9feba","Tanks"
"c77325c0f8254e2baba043f1bf216b8aad4f940dc7ca6a41e711dc26d4b7832c","Capris"
"8b06683d198d4666e12966c2bd63e57fd2bf76b842b6ca4e58a5bbd84d00cca5","Blouses"
"c087609bf73564ed4a2fa9c2b27b802ef71a9d94565bf2d92861811210f35479","\"Gingham\" Shorts"
"8863873bb3ba52bca3ca89f1f26de878b380088695ea678e207b125f8341a525","Cardigans"
"8fa360a315d0c6c8cbcb23611dec9c3a155ec1a1783dff7efdae33533acff4ea","Shirts"
"f6eab05bb8cae8dc3c7d981eb02a42dfcfb853afbb9e81dc53d32d08e77b62ce","Capris"
"587604aa941d462c7d6bc0da4181939374e8df5c3fca2dc1b3ea496268c81263","Pants"
"7a90779af6cc66b0085fe563be0f6d96816d17a09d9c38bd9fa79110e7ed0218","Capris"
"15a3d693aa03276a7d417777ccaff2c05cd5f4f6fa6db79fdeb91e3996cdd115","Tanks"
"0065cde61aa30ef247b157e32f1861a450b303248e64bc4da5218be265f4f1ed","Pants"
"cc21dd8fc95899175caec725378fed095c64c416f0a5b1c70826d9ed77efbb0b","Pants"
"fcb202fcfc352d3f0bfc0d6a5fadafa83b781a381c3e29586956508b09f7c0a9","\"Gingham\" Shorts"
"cca6185f098a7555abe952b30c7bb0656ead5c518c10d1db1fd86417a9508dea","Cardigans"
"116ceb039453e4e03395dad3c235878eaab8393691d3222be84d765994a12b13","Blouses"
"b09050c96249a06adba4749353fdb3be5343ef878afbb8f48bc66ee383d79278","Blouses"
"f835e35c766365fea3f0999a096e68ed6d586caa6593b2fc6747058185c8e3fc","Pants"
"9e2125946e2c419192c3b94be554f011c6a74a505b34d2f3a9bcdaa26c41cace","Blouses"
"eaf07bf50e0fb6e8825360a17dcf60a12b3ffe2cb6444f94348d1c6812478ba3","\"Gingham\" Shorts"
"6c11328ebadd7bc99d9128fb1fd066df719175ebbb7747750515a83f95e241ce","Pants"
"9ec115728720ea30cbcb1b46b626be7e4acd2acfc2d97e40a1acd3427cbb5a31","Shirts"
"dec439189253f5c0e15b0cd4cc0ab74f943fb492880d26ba174045268ff35b93","Capris"
"8f61c5c7f40868d62b1f4021e14196ccbb48b946bb6b98e8751f2d911edfdb7e","Cardigans"
"dbb7b6dbf56e4f5713dbdcb4a50fab2e4afd1469679f996baf0f9fc6d35eeb7a","Cardigans"
"dbcf1358a75594e7c63cd782d89007492b0866a799ed7824bcd3ae0d6e6814a9","Shirts"
"0a2f9ca3a5cd8ea7534eca7facc6b088658e6fe4ae9d16cfafd64648a0774ddb","Shirts"
"da5be29a0cfe0e972f90bf2adf4437c45a6f6e55660e9c13ea18bdc41fff7ab2","Blouses"
"54ed61d132f97ba8d79649b3fe36ebe6c7e07684fa78fc1db2afd23553efeaa2","\"Gingham\" Shorts"
"af4111f9cd3f7cfda9c3d87c90d61a1f61b38bd848e098083a6e39c157673535","Cardigans"
"0cab0fb6bcae905af963b0b3bf95a4c9043eab615e56b87828b5838847d06c46","Capris"
